release_date,achievements,median_playtime,price,total_reviews,average_playtime,english,categories,owners,season,Rating
2007-04-06,0,0,5.99,249,0,1,Single-player,50000-100000,Spring,Positive
2007-04-06,0,0,2.99,141,0,1,Single-player,1000000-2000000,Spring,Very Positive
2006-11-29,29,1875,6.99,380154,12422,1,Single-player;Multi-player;Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Captions available;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,10000000-20000000,Fall,Very Positive
2006-10-05,0,0,5.99,9,0,1,Single-player,0-20000,Fall,Negative
2006-11-24,0,0,25.99,162,0,1,Single-player;Multi-player,200000-500000,Fall,Positive
2007-06-22,0,0,3.99,6,0,1,Single-player;Multi-player,0-20000,Summer,Negative
2006-11-07,0,78,5.99,57,78,1,Single-player;Partial Controller Support;Includes level editor,20000-50000,Fall,Positive
2007-03-20,0,0,7.99,93,0,1,Single-player,20000-50000,Spring,Negative
2008-09-29,0,0,6.99,118,0,1,Single-player,20000-50000,Fall,Negative
2008-07-18,0,0,7.99,48,0,1,Single-player;Multi-player,20000-50000,Summer,Negative
2007-03-20,0,360,9.99,11609,493,1,Single-player;Multi-player,1000000-2000000,Spring,Very Positive
2007-07-17,0,244,7.99,166,124,1,Single-player;Multi-player;Co-op,100000-200000,Summer,Negative
2007-07-17,0,1,4.99,114,1,1,Single-player;Multi-player;Co-op,100000-200000,Summer,Negative
2007-07-17,0,186,0.0,5092,175,1,Single-player;Multi-player;Steam Trading Cards;Steam Workshop;Steam Cloud,2000000-5000000,Summer,Very Positive
2007-08-07,0,340,9.99,3691,309,1,Single-player;Multi-player;Steam Trading Cards;Steam Cloud,1000000-2000000,Summer,Very Positive
2007-08-07,0,620,9.99,2982,543,1,Single-player;Multi-player;Steam Cloud,1000000-2000000,Summer,Very Positive
2006-11-15,0,361,0.0,10875,469,1,Single-player;Multi-player;Steam Trading Cards,2000000-5000000,Fall,Very Positive
2012-10-29,0,312,9.99,1464,312,1,Single-player,200000-500000,Fall,Positive
2007-08-28,0,1192,8.99,8368,897,1,Single-player;Multi-player;Steam Trading Cards,1000000-2000000,Summer,Very Positive
2007-08-28,0,33,8.99,462,33,1,Single-player;Multi-player,500000-1000000,Summer,Positive
2007-08-28,0,0,0.0,615,0,1,Single-player;Multi-player,200000-500000,Summer,Very Positive
2006-11-22,0,0,9.99,305,0,1,Single-player;Multi-player,50000-100000,Fall,Positive
2010-09-02,0,1208,3.99,1224,1134,1,Single-player;Multi-player,100000-200000,Fall,Very Positive
2011-08-26,0,0,3.99,124,0,1,Single-player,100000-200000,Summer,Positive
2011-08-26,0,1,3.99,236,1,1,Single-player,100000-200000,Summer,Positive
2011-08-26,0,71,3.99,384,71,1,Single-player;Multi-player;Online Multi-Player;Local Multi-Player,100000-200000,Summer,Negative
2006-12-14,0,0,0.0,139,0,1,Single-player,0-20000,Winter,Very Positive
2012-10-30,67,253,6.99,9870,627,1,Multi-player;Online Multi-Player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Valve Anti-Cheat enabled;Includes level editor,1000000-2000000,Fall,Positive
2009-07-08,0,265,7.19,6771,369,1,Single-player;Multi-player;Local Multi-Player;Steam Cloud,1000000-2000000,Summer,Very Positive
2009-07-08,0,804,4.79,628,419,1,Single-player;Steam Cloud,100000-200000,Summer,Very Positive
