,english,required_age,achievements,average_playtime,median_playtime,owners,price,indie,action,adventure,singleplayer,multiplayer,rating,day,month,year
21834,1,12,47,0,0,0-20000,5.79,1,1,1,1,0,very positive,30,8,2018
21835,1,0,38,0,0,0-20000,5.19,1,0,0,1,0,very negative,4,5,2018
21836,1,0,10,0,0,0-20000,0.79,1,0,1,1,0,very positive,16,5,2018
21837,1,0,0,0,0,0-20000,3.99,1,0,0,1,0,negative,20,7,2018
21838,1,0,22,0,0,0-20000,6.19,1,0,0,1,0,negative,18,5,2018
21839,1,0,13,0,0,0-20000,1.69,1,1,1,1,0,very negative,9,5,2018
21840,1,0,0,0,0,0-20000,11.99,1,0,0,1,0,very positive,11,10,2018
21841,1,0,18,0,0,0-20000,6.49,1,1,1,1,0,very positive,29,6,2018
21843,1,0,0,0,0,0-20000,0.79,1,1,1,1,0,very positive,12,6,2018
21844,1,0,15,0,0,0-20000,11.39,1,0,0,1,0,very positive,19,12,2018
21845,1,0,0,0,0,0-20000,1.69,1,1,0,1,0,very positive,1,5,2018
21846,1,0,33,0,0,0-20000,0.79,1,0,0,1,0,very positive,29,4,2018
21847,1,0,0,0,0,0-20000,0.79,1,1,1,1,0,very positive,20,7,2018
21848,1,0,0,3,3,0-20000,0.79,1,0,0,1,0,positive,6,5,2018
21849,1,0,0,0,0,0-20000,3.99,1,0,0,1,0,positive,30,4,2018
21850,1,0,0,0,0,0-20000,3.99,1,0,0,1,0,very positive,4,1,2019
21851,1,0,52,0,0,0-20000,7.19,1,0,0,1,1,very positive,6,8,2018
21852,1,0,0,0,0,20000-50000,3.99,1,0,0,1,0,negative,4,7,2018
21853,1,0,15,67,67,20000-50000,12.99,0,1,0,1,0,very positive,11,7,2018
21854,1,0,0,0,0,0-20000,5.79,1,0,0,1,0,very positive,5,12,2018
21855,1,0,30,0,0,0-20000,3.99,1,1,0,1,0,very positive,3,5,2018
21856,1,0,44,0,0,0-20000,7.19,1,0,1,1,0,positive,16,1,2019
21858,1,0,15,0,0,0-20000,1.69,1,1,1,1,0,very positive,3,5,2018
21859,1,0,21,0,0,0-20000,1.69,1,0,1,1,0,positive,17,10,2018
21860,1,0,8,0,0,0-20000,9.99,1,0,0,1,0,negative,20,8,2018
21861,1,0,0,0,0,0-20000,7.19,1,0,0,1,0,very positive,8,11,2018
21862,1,0,10,0,0,0-20000,11.39,1,1,1,1,0,very positive,17,5,2018
21863,1,0,14,0,0,0-20000,10.29,1,1,0,1,0,very negative,7,8,2018
21864,1,0,12,0,0,0-20000,8.29,1,1,0,0,1,very positive,14,3,2019
21865,1,0,0,0,0,0-20000,0.79,1,1,0,1,0,positive,28,4,2018
21866,1,0,19,0,0,0-20000,5.99,1,0,1,1,0,positive,14,5,2018
21867,1,0,17,0,0,0-20000,4.79,1,0,1,1,0,very positive,29,5,2018
21868,1,0,40,0,0,0-20000,3.99,1,0,1,1,0,very positive,12,6,2018
21869,1,0,7,0,0,0-20000,0.79,1,1,0,1,0,negative,30,4,2018
21871,1,0,0,0,0,0-20000,5.79,0,0,1,1,0,very positive,2,7,2018
21872,1,0,40,0,0,0-20000,0.0,1,0,0,1,1,positive,14,9,2018
21873,1,0,0,0,0,0-20000,1.99,1,1,0,1,0,very negative,1,5,2018
21874,1,0,1,0,0,0-20000,0.79,1,1,0,1,1,negative,8,6,2018
21877,1,0,0,0,0,0-20000,3.99,0,0,0,1,0,very positive,12,10,2018
21878,1,0,0,0,0,0-20000,0.79,1,0,0,1,0,very negative,31,5,2018
21879,0,0,27,0,0,0-20000,2.09,1,0,1,1,0,very positive,30,7,2018
21880,1,0,21,0,0,0-20000,5.19,0,0,1,1,0,very positive,16,7,2018
21881,1,0,22,0,0,0-20000,5.19,0,0,1,1,0,very positive,18,6,2018
21883,1,0,0,0,0,0-20000,0.0,1,1,0,1,1,very positive,19,9,2018
21885,1,0,32,0,0,0-20000,7.19,1,1,0,1,1,very positive,6,7,2018
21886,1,0,22,0,0,0-20000,0.79,1,0,1,1,0,very positive,29,5,2018
21887,1,0,0,0,0,0-20000,2.09,1,0,1,1,0,very positive,9,7,2018
21888,0,0,0,0,0,0-20000,1.69,1,0,1,1,0,very positive,20,5,2018
21889,1,0,0,0,0,0-20000,3.99,1,0,0,1,1,very positive,2,6,2018
21890,1,0,0,0,0,0-20000,4.79,0,0,0,1,0,very positive,13,5,2018
21891,1,0,36,0,0,0-20000,3.99,1,0,1,1,0,very positive,17,5,2018
21892,1,0,29,0,0,0-20000,2.09,1,0,1,1,0,positive,26,6,2018
21893,1,0,28,0,0,0-20000,2.09,1,0,1,1,0,positive,26,6,2018
21896,1,0,19,0,0,0-20000,2.09,1,1,0,1,0,positive,18,5,2018
21897,1,0,2,0,0,0-20000,2.09,1,0,0,1,0,very positive,4,5,2018
21898,1,0,1,0,0,0-20000,1.69,1,1,1,1,0,very positive,11,5,2018
21899,1,0,0,0,0,0-20000,0.99,1,1,0,1,0,very positive,11,5,2018
21900,1,0,0,0,0,0-20000,2.0,1,1,0,1,1,very positive,20,7,2018
21901,1,0,10,0,0,0-20000,1.69,1,1,1,1,1,positive,9,11,2018
21902,1,0,28,0,0,0-20000,1.69,1,0,0,1,0,very negative,2,5,2018
21903,1,16,0,0,0,0-20000,2.69,1,1,0,1,0,very negative,13,5,2018
21904,1,0,8,0,0,0-20000,8.29,1,0,0,1,0,positive,1,5,2018
21905,1,0,0,0,0,0-20000,0.0,0,0,0,1,0,negative,13,6,2018
21906,1,0,1,0,0,0-20000,0.79,0,0,1,1,0,positive,6,9,2018
21907,1,0,0,0,0,0-20000,0.0,1,0,0,1,0,very positive,8,6,2018
21908,1,0,13,0,0,0-20000,2.89,1,1,0,1,0,very positive,12,7,2018
21909,1,0,0,0,0,0-20000,3.99,1,0,1,1,0,positive,19,7,2018
21910,1,0,0,0,0,0-20000,5.19,1,1,1,1,0,positive,2,5,2018
21911,1,0,0,0,0,20000-50000,0.0,1,0,0,1,0,positive,8,5,2018
21912,1,0,0,0,0,0-20000,0.0,1,0,0,1,0,very positive,24,4,2018
21913,1,0,0,0,0,0-20000,2.09,0,0,0,1,0,very positive,14,6,2018
21914,1,0,0,0,0,0-20000,7.19,1,0,0,1,0,very positive,19,6,2018
21915,1,0,24,0,0,0-20000,2.09,1,1,1,1,0,very positive,10,4,2019
21916,1,0,13,0,0,0-20000,2.09,1,1,0,1,0,very positive,7,5,2018
21917,1,0,0,0,0,0-20000,2.89,0,1,0,1,0,very positive,9,5,2018
21918,1,0,0,0,0,0-20000,7.19,1,1,1,1,0,very negative,25,5,2018
21919,1,0,40,0,0,0-20000,6.99,1,1,0,1,0,very positive,1,6,2018
21920,1,0,27,0,0,0-20000,2.09,1,1,0,1,1,very positive,1,6,2018
21922,1,0,10,0,0,0-20000,0.79,1,1,1,1,0,very positive,4,5,2018
21924,1,0,10,47,47,0-20000,2.09,1,0,0,1,0,very positive,24,5,2018
21925,1,0,0,0,0,0-20000,3.99,1,0,0,1,0,very positive,31,5,2018
21927,1,0,47,0,0,0-20000,11.39,1,0,0,1,1,very positive,24,7,2018
21929,1,0,0,0,0,20000-50000,0.0,0,1,0,1,1,negative,27,7,2018
21930,1,0,13,0,0,0-20000,3.99,1,1,0,1,1,positive,13,7,2018
21931,1,0,20,0,0,0-20000,0.79,1,1,1,1,0,positive,1,5,2018
21934,1,0,0,0,0,0-20000,2.09,0,1,0,1,0,very positive,2,5,2018
21935,1,0,6,0,0,0-20000,4.99,1,1,1,1,0,negative,29,5,2018
21937,1,0,18,0,0,0-20000,2.89,1,0,0,1,0,very positive,6,9,2018
21938,1,0,0,0,0,0-20000,2.89,1,1,1,1,0,positive,5,9,2018
21939,1,0,0,0,0,0-20000,2.89,1,1,1,1,0,positive,31,5,2018
21940,1,0,0,0,0,0-20000,0.0,0,0,0,1,0,very positive,20,7,2018
21941,1,0,11,0,0,0-20000,5.19,1,0,0,1,0,positive,7,5,2018
21942,1,0,7,0,0,0-20000,0.79,1,1,0,1,0,very positive,15,5,2018
21943,1,0,14,0,0,0-20000,5.99,1,0,1,1,0,very negative,7,8,2018
21944,1,0,10,0,0,0-20000,1.69,1,1,0,1,0,positive,14,5,2018
21945,1,0,9,0,0,0-20000,0.79,0,0,0,1,0,very positive,25,5,2018
21946,1,0,0,0,0,0-20000,3.99,1,1,1,1,0,very positive,7,6,2018
21947,1,0,8,0,0,0-20000,3.99,1,1,0,1,0,very positive,25,5,2018
21948,1,0,0,0,0,0-20000,2.09,1,0,0,1,0,positive,11,7,2018
21949,1,0,1,0,0,0-20000,0.79,1,1,1,1,0,very positive,26,11,2018
21950,1,0,0,0,0,0-20000,5.0,1,0,0,1,0,very positive,26,7,2018
21951,1,0,29,0,0,0-20000,8.99,0,0,0,1,1,positive,18,7,2018
21952,1,0,31,0,0,0-20000,0.79,1,0,0,1,0,very positive,30,11,2018
21953,1,0,5,0,0,0-20000,5.79,1,0,1,1,0,very positive,26,4,2018
21954,1,0,0,0,0,0-20000,0.79,1,1,0,0,1,positive,17,5,2018
21955,1,0,3,0,0,20000-50000,0.79,1,0,0,1,0,very negative,5,6,2018
21956,1,0,0,0,0,0-20000,0.79,1,0,1,1,0,very positive,4,5,2018
21957,1,0,20,0,0,0-20000,2.89,0,1,0,0,1,very positive,18,5,2018
21958,1,0,0,0,0,0-20000,6.19,1,0,0,1,0,positive,1,7,2018
21959,1,0,0,0,0,0-20000,1.69,1,0,1,1,0,very positive,4,6,2018
21960,1,0,19,0,0,0-20000,2.09,1,1,1,1,0,very positive,22,5,2018
21962,1,0,18,0,0,0-20000,2.89,1,0,1,1,0,positive,26,4,2018
21963,1,0,14,0,0,0-20000,2.89,1,1,0,1,0,very positive,8,6,2018
21965,1,0,0,0,0,0-20000,3.99,1,1,0,1,0,very positive,17,5,2018
21966,1,0,0,0,0,0-20000,8.99,1,1,0,1,1,very positive,8,6,2018
21967,1,0,0,0,0,0-20000,0.79,1,1,0,1,0,very positive,7,6,2018
21968,1,0,0,0,0,0-20000,2.09,1,0,1,1,0,positive,9,5,2018
21969,1,0,36,0,0,0-20000,3.99,1,0,0,1,1,very positive,3,9,2018
21970,1,0,9,0,0,0-20000,3.99,1,0,1,1,0,very positive,6,6,2018
21971,1,0,12,0,0,0-20000,2.09,1,0,0,1,0,very negative,10,5,2018
21973,1,0,0,0,0,0-20000,7.19,1,1,1,1,1,very negative,16,7,2018
21974,1,0,0,0,0,0-20000,2.89,1,1,1,1,0,very positive,15,5,2018
21975,1,0,0,0,0,0-20000,2.89,1,1,1,1,0,very negative,24,5,2018
21976,1,0,26,0,0,0-20000,0.79,0,0,0,1,0,very positive,7,5,2018
21977,1,0,0,0,0,20000-50000,3.99,0,1,0,0,1,positive,15,6,2018
21978,1,0,9,0,0,0-20000,3.99,1,0,1,1,0,positive,1,6,2018
21979,1,0,0,0,0,0-20000,4.49,1,0,0,1,0,very positive,15,5,2018
21980,1,0,0,0,0,0-20000,11.39,1,0,1,1,0,very positive,15,5,2018
21981,1,0,0,0,0,0-20000,2.09,1,0,0,1,0,very positive,9,5,2018
21984,1,0,0,0,0,0-20000,0.79,1,0,0,1,0,very positive,8,5,2018
21985,1,0,0,0,0,20000-50000,0.0,0,0,0,0,1,positive,16,7,2018
21986,1,0,3,0,0,0-20000,0.79,1,1,0,1,0,positive,4,5,2018
21987,1,0,0,0,0,0-20000,0.79,1,0,0,1,0,very negative,28,8,2018
21988,1,0,12,0,0,0-20000,0.0,0,0,0,1,0,positive,25,5,2018
21989,1,0,0,0,0,0-20000,0.0,0,0,0,1,0,very positive,14,5,2018
21990,1,0,0,0,0,0-20000,7.19,0,0,0,1,0,very positive,4,5,2018
21991,1,0,4,200,200,0-20000,4.79,1,0,1,1,1,positive,10,5,2018
21992,1,0,0,0,0,0-20000,11.39,1,0,0,1,0,very positive,16,5,2018
21993,1,0,0,0,0,0-20000,4.79,0,1,1,1,1,very negative,6,7,2018
21994,1,0,18,0,0,20000-50000,0.79,1,0,0,1,0,very positive,8,5,2018
21996,1,0,9,0,0,0-20000,0.0,1,1,0,1,0,very positive,24,5,2018
21997,1,0,7,0,0,0-20000,4.79,1,0,1,1,0,positive,8,11,2018
21998,1,0,0,0,0,0-20000,4.79,0,1,0,1,0,positive,22,5,2018
21999,1,0,0,1,1,0-20000,2.89,1,0,0,1,0,positive,8,5,2018
22000,1,0,9,0,0,0-20000,1.69,1,0,1,1,0,negative,5,6,2018
22001,0,0,6,0,0,0-20000,1.69,1,0,0,1,0,very positive,8,5,2018
22002,1,0,55,0,0,0-20000,5.19,1,0,1,1,0,very positive,26,5,2018
22003,1,0,29,0,0,0-20000,3.99,1,1,0,0,1,very positive,31,8,2018
22004,0,0,38,347,347,20000-50000,7.19,0,0,0,1,0,positive,13,3,2019
22005,1,0,0,0,0,0-20000,7.19,0,1,0,1,0,very positive,8,5,2018
22006,1,0,3,0,0,0-20000,0.79,1,0,1,1,0,very positive,16,6,2018
22007,1,0,0,0,0,0-20000,2.09,0,0,0,1,0,negative,31,5,2018
22008,1,0,8,0,0,0-20000,5.19,1,0,0,1,0,very negative,9,5,2018
22009,1,0,24,0,0,0-20000,5.79,0,1,0,1,0,very negative,25,5,2018
22011,1,0,7,0,0,0-20000,5.79,1,0,0,1,0,negative,31,5,2018
22012,1,0,0,0,0,0-20000,7.19,1,0,0,1,1,positive,31,5,2018
